Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S28712300014,10/28/2015,2285,John's Grocery,401 EAST MARKET ST,IOWA CITY,52240,POINT (-91.529854 41.663541),52,Johnson,1011200,STRAIGHT BOURBON WHISKIES,260,Diageo Americas,17087,Bulleit Bourbon Frontier Whiskey,12,1000,19.99,29.99,12,359.88,12.00,3.17
S16327100018,12/17/2013,4236,Fareway Stores #551 / Eagle Grove,205 NW  1ST ST,EAGLE GROVE,50533,POINT (-93.903801 42.665165),99,Wright,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",10550,Black Velvet Toasted Caramel,12,750,6.75,10.13,12,121.56,9.00,2.38
S11250200005,03/26/2013,4651,Casey's General Store #2300 / Jewell,"301, MAIN ST",JEWELL,50130,POINT (-93.640039 42.302654000000004),40,Hamilton,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41989,Uv Cake Vodka,12,750,6.50,9.74,4,38.96,3.00,0.79
S22861400011,12/10/2014,4750,Walgreens #04041 / Davenport,1525 E KIMBERLY,DAVENPORT,52807,POINT (-90.552365 41.556786),82,Scott,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19066,Jim Beam,12,750,10.49,15.74,12,188.88,9.00,2.38
S19990700030,07/08/2014,3881,7 Rayos Liquor Store,120 E MAIN ST,MARSHALLTOWN,50158,POINT (-92.9104 42.049166),64,Marshall,1081370,WATERMELON SCHNAPPS,65,Jim Beam Brands,82867,Dekuyper Watermelon Pucker,12,1000,7.62,11.43,12,137.16,12.00,3.17
S25724800058,05/19/2015,2553,Hy-Vee Food Store / Creston,600 SHELDON,CRESTON,50801,POINT (-94.372552 41.051462),88,Union,1012100,CANADIAN WHISKIES,260,Diageo Americas,11366,Crown Royal Special Reserve,12,750,25.00,37.50,2,75.00,1.50,0.40
S17237100008,02/05/2014,2840,CVS Pharmacy #8633 / Bettendorf,2002 SPRUCE HILLS DR,BETTENDORF,52722,POINT (-90.503814 41.550134),82,Scott,1031080,VODKA 80 PROOF,260,Diageo Americas,38006,Smirnoff Vodka Traveller,12,750,8.25,12.37,12,148.44,9.00,2.38
S05020700026,04/12/2012,3666,Target Store T-1771 / Cedar Rapids,3400 EDGEWOOD RD SW,CEDAR RAPIDS,52404,POINT (-91.716111 41.944272),57,Linn,1042100,IMPORTED DRY GINS,260,Diageo Americas,28868,Tanqueray Gin,6,1750,24.29,36.44,6,218.64,10.50,2.77
S11275800013,03/26/2013,2663,Hy-Vee / Urbandale,8701 DOUGLAS,URBANDALE,50322,POINT (-93.739105 41.629364),77,Polk,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19486,Maker's 46,6,750,20.99,31.49,6,188.94,4.50,1.19
S06558000015,07/12/2012,4135,Fareway Stores #925 / Altoona,620 SE 8TH ST,ALTOONA,50009,POINT (-93.458606 41.644082000000004),77,Polk,1032200,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34030,Absolut Citron (lemon Vodka),12,750,10.14,15.58,3,46.74,2.25,0.59
S13001500080,06/25/2013,2487,Anamosa Family Foods,402 EAST MAIN,ANAMOSA,52205,POINT (-91.281344 42.108275),53,Jones,1012100,CANADIAN WHISKIES,55,Sazerac North America,12406,Canadian Ltd Whisky,12,750,4.33,6.50,4,26.00,3.00,0.79
S28956300054,11/09/2015,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,POINT (-93.73162 41.571127),77,Polk,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81196,Paramount Peppermint Schnapps Traveler,12,750,3.71,5.57,12,66.84,9.00,2.38
S04545600052,03/14/2012,2661,Hy-Vee Food Store / Sheldon,1989 PARK ST,SHELDON,51201,POINT (-95.831721 43.186038),71,O'Brien,1012100,CANADIAN WHISKIES,260,Diageo Americas,11293,Crown Royal Canadian Whisky,48,200,4.47,6.70,6,40.20,1.20,0.32
S09868300040,01/03/2013,4348,Jeff's Market / Wilton,101 E 4TH,WILTON,52778,POINT (-91.016579 41.58873),70,Muscatine,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41783,Uv Blue Raspberry Vodka Mini,6,500,4.88,7.32,2,14.64,1.00,0.26
S22013000088,10/27/2014,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.879662 41.261925),78,Pottawattamie,1062310,SPICED RUM,259,Heaven Hill Brands,43986,Admiral Nelson Cherry Spiced Rum,6,1750,11.55,17.33,6,103.98,10.50,2.77
S15667300041,11/12/2013,2607,Hy-Vee Wine and Spirits / Shenandoah,520 SO FREMONT,SHENANDOAH,51601,POINT (-95.385111 40.761736),73,Page,1062300,FLAVORED RUM,35,"Bacardi U.S.A., Inc.",43066,Bacardi Peach Red,12,750,8.33,12.49,1,12.49,0.75,0.20
S17635400046,02/27/2014,4481,THE LIQUOR HOUSE,425 GILBERT ST,IOWA CITY,52240,POINT (-91.530225 41.656031),52,Johnson,1011400,BOTTLED IN BOND BOURBON,85,Brown-Forman Corporation,26906,Jack Daniels Single Barrel Why.,6,750,26.59,39.89,2,79.78,1.50,0.40
S04943600013,04/09/2012,3531,Osage Liquors,508 MAIN ST,OSAGE,50461,POINT (-92.814028 43.284116),66,Mitchell,1051010,AMERICAN GRAPE BRANDIES,85,Brown-Forman Corporation,52835,Korbel Brandy Pet,6,1750,11.33,16.99,1,16.99,1.75,0.46
S11778200034,04/22/2013,2553,Hy-Vee Food Store / Creston,600 SHELDON,CRESTON,50801,POINT (-94.372552 41.051462),88,Union,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19226,Knob Creek,6,750,19.94,29.92,2,59.84,1.50,0.40
S27379600095,08/18/2015,2522,Hy-Vee Wine and Spirits / Spirit Lak,HWY 9 & 71,SPIRIT LAKE,51360,,30,Dickinson,1071100,AMERICAN COCKTAILS,395,Proximo,59161,1800 Peach,6,1750,9.50,14.25,6,85.50,10.50,2.77
S08021900026,10/01/2012,4308,Keystone Liquor and Wine / Coralvill,517  2ND ST STE 2,CORALVILLE,52241,POINT (-91.574095 41.671543),52,Johnson,1012100,CANADIAN WHISKIES,260,Diageo Americas,11290,Crown Royal Canadian Whisky Mini,10,300,6.60,9.90,4,39.60,1.20,0.32
S15863700072,11/21/2013,2551,Hy-Vee Food Store / Chariton,2001 WEST COURT,CHARITON,50049,,59,Lucas,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41693,Uv Blue (raspberry) Vodka,12,750,6.50,9.74,3,29.22,2.25,0.59
S25878800052,05/27/2015,2545,Hy-Vee Drugstore / Iowa City,310 N 1ST ST,IOWA CITY,52245,POINT (-91.528105 42.207428),52,Johnson,1031080,VODKA 80 PROOF,380,Phillips Beverage Company,37348,Phillips Vodka,6,1750,7.60,11.40,12,136.80,21.00,5.55
S27964100001,09/16/2015,3866,Target Store T-1170 / Ames,320 S DUFF,AMES,50010,POINT (-93.61036300000002 42.019875000000006),85,Story,1032200,IMPORTED VODKA - MISC,260,Diageo Americas,64573,Ciroc Pineapple,12,750,19.00,28.50,12,342.00,9.00,2.38
S19228400065,05/28/2014,2548,Hy-Vee Food Store / Altoona,100 8TH STREET SW,ALTOONA,50009,POINT (-93.465301 41.644041),77,Polk,1011100,BLENDED WHISKIES,65,Jim Beam Brands,22786,Beam's 8 Star Bl Whiskey,12,750,3.67,5.51,12,66.12,9.00,2.38
S25760500014,05/21/2015,2459,Reinhart Foods,200 STATE PO BOX 98,GUTHRIE CENTER,50115,,39,Guthrie,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11588,Black Velvet Reserve,6,1750,12.99,19.49,6,116.94,10.50,2.77
S20913500052,08/27/2014,4604,Pit Stop Liquors / Newton,"1324, 1st AVE E",NEWTON,50208,POINT (-93.035654 41.699173),50,Jasper,1062300,FLAVORED RUM,35,"Bacardi U.S.A., Inc.",43136,Bacardi Limon,12,750,8.50,12.75,1,12.75,0.75,0.20
S13154100019,07/04/2013,4392,KUM & GO #156 / CLIVE,15600 HICKMAN RD,CLIVE,50325,POINT (-93.834209 41.614732),77,Polk,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19061,Jim Beam Mini,12,500,6.83,10.24,1,10.24,0.50,0.13
S15438200011,10/30/2013,4694,Rina Mart LLC / Davenport,"3815, WEST KIMBERLY RD",DAVENPORT,52806,POINT (-90.631357 41.561712),82,Scott,1022100,TEQUILA,410,The Patron Spirits Company,88294,Patron Silver Tequila,12,375,14.00,21.00,2,42.00,0.75,0.20
S08076500009,10/03/2012,3864,Hometown Foods / Schaller,201 S MAIN ST PO BX 40,SCHALLER,51053,POINT (-95.29346 42.499481),81,Sac,1012100,CANADIAN WHISKIES,434,Luxco-St Louis,13037,Canadian Reserve Whisky,12,1000,5.31,7.97,1,7.97,1.00,0.26
S19596100028,06/17/2014,4291,Fareway Stores #597 / Creston,105 E ADAMS ST,CRESTON,50801,POINT (-94.237509 40.715722),88,Union,1022100,TEQUILA,421,"Sazerac Co., Inc.",88766,Tortilla White Tequila,12,750,6.20,9.30,3,27.90,2.25,0.59
S19178300013,05/27/2014,4764,New Star / Fort Dodge,1923 5TH AVE S,FORT DODGE,50501,POINT (-94.170859 42.501169),94,Webster,1051010,AMERICAN GRAPE BRANDIES,115,"Constellation Wine Company, Inc.",53213,Paul Masson Grande Amber Brandy,24,200,1.96,2.94,48,141.12,9.60,2.54
S13537900085,07/24/2013,2642,Hy-Vee Wine and Spirits / Pella,512 E OSKALOOSA,PELLA,50219,POINT (-92.899277 41.396961000000005),63,Marion,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,192,Sidney Frank Importing Co.,65251,Jagermeister Liqueur Mini,5,1200,29.53,44.30,1,44.30,1.20,0.32
S10895600030,03/04/2013,3981,Wal-Mart 1152 / Sioux Center,255 16TH ST SW,SIOUX CENTER,51250,POINT (-96.179835 43.060881),84,Sioux,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81206,Paramount Peppermint Schnapps,12,750,3.70,5.55,12,66.60,9.00,2.38
S23180500018,12/26/2014,4972,Quillins Quality Foods Monona,808 S MAIN ST,MONONA,52159,POINT (-91.389805 43.044875),22,Clayton,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.17,10.76,6,64.56,10.50,2.77
S13257900006,07/10/2013,4670,Guppy's On The Go / Tripoli,"600, 7TH AVE SW",TRIPOLI,50676,POINT (-92.264269 42.802374),09,Bremer,1031080,VODKA 80 PROOF,297,Laird And Company,35917,Five O'clock Vodka,12,1000,4.17,6.25,12,75.00,12.00,3.17
S29219300030,11/20/2015,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82,Scott,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45277,Paramount White Rum,12,1000,4.34,6.51,12,78.12,12.00,3.17
S22396700125,11/17/2014,4794,Smokin' Joe's #17 Tobacco and Liquor,110 S ROOSEVELT HWY 61,BURLINGTON,52601,POINT (-91.141203 40.80943700000001),29,Des Moines,1012100,CANADIAN WHISKIES,260,Diageo Americas,11290,Crown Royal Canadian Whisky Mini,10,300,7.35,11.03,1,11.03,0.30,0.08
S09211200009,11/29/2012,4062,H and A Mini Mart Corp,145 UNIVERSITY AVE,DES MOINES,50314,POINT (-93.61947 41.600419),77,Polk,1031080,VODKA 80 PROOF,297,Laird And Company,35926,Five O'clock PET Vodka,12,750,3.40,5.09,12,61.08,9.00,2.38
S17626400044,02/26/2014,2611,Hy-Vee Drugstore / Ottumwa,1140 NORTH JEFFERSON ST,OTTUMWA,52501,POINT (-92.401538 41.026754000000004),90,Wapello,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19226,Knob Creek,6,750,20.47,30.71,3,92.13,2.25,0.59
S24421400042,03/09/2015,4180,Smokin' Joe's #10 Tobacco and Liquor,480 7TH AVE,MARION,52302,POINT (-91.605094 42.033366),57,Linn,1081600,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86883,Southern Comfort,48,200,2.51,3.77,48,180.96,9.60,2.54
S14662700016,09/18/2013,4366,Kum & Go #137 / Tiffin,101 VILLAGE DR,TIFFIN,52340,POINT (-91.6656 41.697221),52,Johnson,1012100,CANADIAN WHISKIES,260,Diageo Americas,11290,Crown Royal Canadian Whisky Mini,10,300,6.90,10.35,1,10.35,0.30,0.08
S03546100038,01/12/2012,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,Johnson,1022100,TEQUILA,434,Luxco-St Louis,89387,Juarez Tequila Gold,12,1000,6.67,10.00,84,840.00,84.00,22.19
S25888300003,05/28/2015,3995,Barmuda Distribution,6027 University Ave STE 100,CEDAR FALLS,50613,POINT (-92.430437 42.512768),07,Black Hawk,1011100,BLENDED WHISKIES,300,Mccormick Distilling Company,24728,"Mccormick Blend Whiskey, Pet",6,1750,7.67,11.51,6,69.06,10.50,2.77
S13852600017,08/12/2013,4016,Hometown Foods / Conrad,119 N MAIN ST PO BOX 296,CONRAD,50621,POINT (-92.874589 42.225148),38,Grundy,1032200,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34014,Absolut Apeach,12,750,11.49,17.24,3,51.72,2.25,0.59
S24476300002,03/11/2015,4073,"Uptown Liquor, Llc",306 HWY 69 SOUTH,FOREST CITY,50436,POINT (-93.633306 43.261538),95,Winnebago,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26826,Jack Daniels Old #7 Black Lbl,12,750,14.53,21.80,12,261.60,9.00,2.38
S13294700023,07/10/2013,4877,World Liquor & Tobacco,1775 NW 86TH ST,CLIVE,50325,POINT (-93.736232 41.607853),77,Polk,1081200,CREAM LIQUEURS,300,Mccormick Distilling Company,65200,Tequila Rose Liqueur,12,750,9.33,13.99,4,55.96,3.00,0.79
S20073300068,07/14/2014,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,POINT (-91.403752 40.41538),56,Lee,1031080,VODKA 80 PROOF,55,Sazerac North America,35317,Barton Vodka,12,1000,3.97,5.95,12,71.40,12.00,3.17
S17366000057,02/12/2014,4073,"Uptown Liquor, Llc",306 HWY 69 SOUTH,FOREST CITY,50436,POINT (-93.633306 43.261538),95,Winnebago,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,240,"WILLIAM GRANT AND SONS, INC.",64876,Drambuie Liqueur,12,750,20.58,30.87,2,61.74,1.50,0.40
S03925300029,02/06/2012,4483,Sauce,108 E COLLEGE,IOWA CITY,52240,POINT (-91.533522 41.658979),52,Johnson,1081200,CREAM LIQUEURS,330,Gemini Spirits,80457,Ryan's Cream Liqueur,12,1000,7.22,10.83,12,129.96,12.00,3.17
S21735900057,10/14/2014,2575,Hy-Vee Food Store #1 / Waterloo,2834 Ansborough Ave,WATERLOO,50702,POINT (-92.37662400000002 42.471767),07,Black Hawk,1012200,SCOTCH WHISKIES,260,Diageo Americas,5346,Johnnie Walker Red,12,750,14.25,21.38,2,42.76,1.50,0.40
S20786800131,08/21/2014,2561,Hy-Vee Food Store / Fleur / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POINT (-93.64494300000001 41.542748),77,Polk,1071100,AMERICAN COCKTAILS,55,Sazerac North America,57148,Chi-Chi's Margarita W/tequila,6,1750,6.50,9.75,6,58.50,10.50,2.77
S07145700007,08/16/2012,3696,Wal-Mart 1723 / Des Moines,5101 SE 14TH ST,DES MOINES,50315,,77,Polk,1081010,AMERICAN AMARETTO,434,Luxco-St Louis,76486,Paramount Amaretto,12,750,3.37,5.06,12,60.72,9.00,2.38
S05431000021,05/08/2012,4114,After 5 Somewhere,704 W 7TH ST PO BOX 372,ATLANTIC,50022,POINT (-95.023116 41.40406200000001),15,Cass,1081600,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86887,Southern Comfort,12,1000,11.82,17.74,4,70.96,4.00,1.06
S17863900095,03/12/2014,2543,Hy-Vee Food Store #1 / Ottumwa,1025 NORTH QUINCY AVE,OTTUWMA,52501,POINT (-92.438463 41.01558),90,Wapello,1031080,VODKA 80 PROOF,259,Heaven Hill Brands,35418,Burnett's Vodka 80 Prf,6,1750,9.79,14.69,2,29.38,3.50,0.92
S18911900008,05/13/2014,2661,Hy-Vee Food Store / Sheldon,1989 PARK ST,SHELDON,51201,POINT (-95.831721 43.186038),71,O'Brien,1042100,IMPORTED DRY GINS,260,Diageo Americas,28866,Tanqueray Gin,12,750,12.00,17.99,12,215.88,9.00,2.38
S12004200035,05/02/2013,3881,7 Rayos Liquor Store,120 E MAIN ST,MARSHALLTOWN,50158,POINT (-92.9104 42.049166),64,Marshall,1022100,TEQUILA,395,Proximo,64933,1800 Coconut,12,750,14.50,21.75,6,130.50,4.50,1.19
S07496600079,08/31/2012,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,POINT (-93.619787 41.60566),77,Polk,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41694,Uv Blue (raspberry) Vodka,12,1000,7.50,11.25,36,405.00,36.00,9.51
S16780700009,01/13/2014,3934,Wal-Mart 1509 / Maquoketa,103 E CARLISLE,MAQUOKETA,52060,POINT (-90.66292 42.04869),49,Jackson,1022100,TEQUILA,395,Proximo,89196,Jose Cuervo Especial Reposado Tequila,12,750,10.49,15.73,12,188.76,9.00,2.38
S22359100121,11/13/2014,3920,Smokin' Joe's #11 Tobacco and Liquor,1606 CAMANCHE AVE,CLINTON,52732,POINT (-90.204748 41.827845),23,Clinton,1081600,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86885,Southern Comfort Pet,12,750,9.85,14.78,2,29.56,1.50,0.40
S25987700127,06/03/2015,2572,Hy-Vee Food Store / Cedar Falls,6301 UNIVERSITY,CEDAR FALLS,50613,POINT (-92.435236 42.512789),07,Black Hawk,1062300,FLAVORED RUM,65,Jim Beam Brands,44476,Cruzan Coconut Rum,12,750,6.83,10.25,3,30.75,2.25,0.59
S29128900006,11/18/2015,3949,Wal-Mart 0751 / Pella,1650 WASHINGTON ST,PELLA,50219,POINT (-92.933676 41.410379),63,Marion,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,20248,Old Crow,6,1750,10.49,15.74,12,188.88,21.00,5.55
S06102500009,06/18/2012,2604,Hy-Vee Wine and Spirits / Lemars,1201 12TH AVE SW,LEMARS,51031,POINT (-96.18335000000002 42.778257),75,Plymouth,1051100,APRICOT BRANDIES,434,Luxco-St Louis,54448,Paramount Apricot Flavored Brandy,6,1750,11.00,16.50,6,99.00,10.50,2.77
S09259400019,12/03/2012,3565,Hartig Drug Store #10,701 MORMON TREK BLVD,IOWA CITY,52246,POINT (-91.574025 41.651984),52,Johnson,1081200,CREAM LIQUEURS,260,Diageo Americas,68031,Bailey's Original Irish Cream Minis,4,1000,25.24,37.86,1,37.86,1.00,0.26
S04861100104,04/03/2012,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT (-95.8792 41.238092),78,Pottawattamie,1012100,CANADIAN WHISKIES,260,Diageo Americas,11366,Crown Royal Special Reserve,12,750,24.30,36.44,1,36.44,0.75,0.20
S27943900110,09/16/2015,3820,"Charlie's Wine and Spirits,",507 W 19th St,SIOUX CITY,51103,POINT (-96.420193 42.510535),97,Woodbury,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41704,Uv Red (cherry) Vodka,12,750,6.50,9.75,3,29.25,2.25,0.59
S04068800008,02/14/2012,4041,Mandm Pantry,2344 CAMANCHE AVE,CLINTON,52732,POINT (-90.213015 41.821777),23,Clinton,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26826,Jack Daniels Old #7 Black Lbl,12,750,13.01,19.51,2,39.02,1.50,0.40
S29004000020,11/10/2015,2205,Ding's Honk And Holler,900 E WASHINGTON,CLARINDA,51632,POINT (-95.027238 40.739231),73,Page,1062310,SPICED RUM,260,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,9.00,13.50,12,162.00,9.00,2.38
S21879100012,10/20/2014,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.879662 41.261925),78,Pottawattamie,1031080,VODKA 80 PROOF,380,Phillips Beverage Company,37338,UV Vodka PET,6,1750,10.49,15.99,6,95.94,10.50,2.77
S25630700119,05/13/2015,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,Scott,1081200,CREAM LIQUEURS,260,Diageo Americas,68038,Bailey's Original Irish Cream,6,1750,26.49,39.74,1,39.74,1.75,0.46
S16888100039,01/16/2014,3785,Southside Tobacco and Liquor,2424 SW 9TH ST,DES MOINES,50315,POINT (-93.624729 41.56373),77,Polk,1031080,VODKA 80 PROOF,205,E AND J GALLO WINERY,36968,New Amsterdam Vodka,24,375,3.40,5.10,3,15.30,1.12,0.30
S25736600041,05/19/2015,2672,Hy-Vee / Winterset,923 N  1ST ST,WINTERSET,50273,POINT (-94.013482 41.342665),61,Madison,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19476,Maker's Mark,12,750,16.79,25.19,3,75.57,2.25,0.59
S05333900004,05/02/2012,3056,Clarion Super Valu Ii,325 CENTRAL AVE W,CLARION,50525,POINT (-93.735875 42.731643),99,Wright,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,9.70,14.92,6,89.52,10.50,2.77
S24413800037,03/09/2015,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1022100,TEQUILA,205,E AND J GALLO WINERY,87643,Familia Camarena Silver,12,750,10.00,15.00,6,90.00,4.50,1.19
S03842900042,01/31/2012,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,Scott,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,10.45,15.67,30,470.10,52.50,13.87
S06247900011,06/26/2012,4725,Casey's General Store #1548 / Ankeny,"2905, W  1ST ST",ANKENY,50023,POINT (-93.638498 41.731708),77,Polk,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81206,Paramount Peppermint Schnapps,12,750,3.70,5.55,12,66.60,9.00,2.38
S17883300091,03/13/2014,3773,Benz Distributing,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT (-91.659875 41.97574),57,Linn,1032080,IMPORTED VODKA,420,"Moet Hennessy USA, Inc.",34162,Belvedere Vodka,6,1000,20.63,30.95,3,92.85,3.00,0.79
S06589500026,07/16/2012,2285,John's Grocery,401 EAST MARKET ST,IOWA CITY,52240,POINT (-91.529854 41.663541),52,Johnson,1042100,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28236,Bombay Sapphire Gin,12,750,12.63,19.45,12,233.40,9.00,2.38
S29088500025,11/16/2015,4773,"Fast Mart 2, LLC",2704 VINE ST,WEST DES MOINES,50265,POINT (-93.741511 41.580206),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43037,Bacardi Gold Rum,12,1000,9.50,14.25,3,42.75,3.00,0.79
S27255400053,08/11/2015,4291,Fareway Stores #597 / Creston,105 E ADAMS ST,CRESTON,50801,POINT (-94.237509 40.715722),88,Union,1011100,BLENDED WHISKIES,297,Laird And Company,23826,Five Star,12,750,3.46,5.19,4,20.76,3.00,0.79
S17320300025,02/11/2014,4567,Shop N Save / NW 2nd Ave / DSM,4685 NW 2nd AVE,DES MOINES,50313,,77,Polk,1081600,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86886,Southern Comfort,12,750,9.85,14.78,2,29.56,1.50,0.40
S18734300043,05/01/2014,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1041100,AMERICAN DRY GINS,205,E AND J GALLO WINERY,31475,New Amsterdam Gin,12,750,6.90,10.35,24,248.40,18.00,4.76
S28885800009,11/11/2015,3354,Sam's Club 8238 / Davenport,3845 ELMORE AVE.,DAVENPORT,52807,POINT (-90.527081 41.559731),82,Scott,1062310,SPICED RUM,259,Heaven Hill Brands,43027,Admiral Nelson Spiced Rum,12,1000,7.28,10.92,48,524.16,48.00,12.68
S06370600047,07/03/2012,3920,Smokin' Joe's #11 Tobacco and Liquor,1606 CAMANCHE AVE,CLINTON,52732,POINT (-90.204748 41.827845),23,Clinton,1031080,VODKA 80 PROOF,260,Diageo Americas,37994,Smirnoff Vodka 80 Prf,24,375,4.50,6.75,1,6.75,0.38,0.10
S03394000019,01/03/2012,4309,The Party Pantry,430 S 35TH ST,COUNCIL BLUFFS,51501,POINT (-95.902023 41.257663),78,Pottawattamie,1031080,VODKA 80 PROOF,461,Campari(skyy),37987,Skyy Vodka,12,1000,12.34,18.52,24,444.48,24.00,6.34
S16395700016,12/19/2013,4126,Sam's Mainstreet Market / Solon,123 E MAIN ST,SOLON,52333,POINT (-91.494611 41.807199),52,Johnson,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,9.70,14.92,6,89.52,10.50,2.77
S23379200049,01/08/2015,2587,Hy-Vee Food Store / Johnston,5750 MERLE HAY ROAD,JOHNSTON,50131,POINT (-93.697731 41.665172),77,Polk,1011100,BLENDED WHISKIES,260,Diageo Americas,25608,Seagrams 7 Crown Bl Whiskey,6,1750,11.96,17.94,6,107.64,10.50,2.77
S06596200031,07/16/2012,4109,Best Trip,1516 SE 1ST,DES MOINES,50315,POINT (-93.613469 41.57592900000001),77,Polk,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34006,Absolut Swedish Vodka 80 Prf,12,750,10.14,15.58,1,15.58,0.75,0.20
S08578700068,10/25/2012,4280,Slagle's Grocery / Le Claire,1301 EAGLE RIDGE RD,LE CLAIRE,52753,POINT (-90.359813 41.587349),82,Scott,1051100,APRICOT BRANDIES,434,Luxco-St Louis,54057,Arrow Apricot Flav Brandy,12,1000,6.38,9.56,2,19.12,2.00,0.53
S28146100038,09/28/2015,4509,A J'S LIQUOR II,2515 CHAMBERLAIN,AMES,50010,POINT (-93.650838 42.021461),85,Story,1042100,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28236,Bombay Sapphire Gin,12,750,13.50,20.25,12,243.00,9.00,2.38
S05206100004,04/24/2012,4469,Sperry One Stop Shop LLC,516 HWY 141,COON RAPIDS,50058,POINT (-94.678374 41.865913),14,Carroll,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26827,Jack Daniels Old #7 Black Lbl,12,1000,16.43,24.64,12,295.68,12.00,3.17
S24354200030,03/04/2015,3857,Quillins Food Ranch / Waukon,9TH ST SW B,WAUKON,52172,,03,Allamakee,1081030,COFFEE LIQUEURS,370,Pernod Ricard USA/Austin Nichols,67527,Kahlua Coffee Liqueur,12,1000,15.24,22.86,2,45.72,2.00,0.53
S12387200010,05/23/2013,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,Johnson,1062310,SPICED RUM,260,Diageo Americas,1799,Captain Morgan Spiced Barrel,6,1750,17.75,26.62,6,159.72,10.50,2.77
